Date,Product,Category,Region,Sales,Units,Profit
2024-01-05,iPhone 15,Electronics,North,85000,17,21250
2024-01-08,Samsung TV,Electronics,South,45000,9,9000
2024-01-10,Nike Shoes,Fashion,East,12000,24,3600
2024-01-15,MacBook Pro,Electronics,West,125000,5,31250
2024-01-18,Levi Jeans,Fashion,North,8500,17,2125
2024-02-02,iPhone 15,Electronics,East,92000,18,23000
2024-02-07,Dell Laptop,Electronics,South,67000,10,13400
2024-02-12,Adidas Shoes,Fashion,West,15000,30,4500
2024-02-20,Samsung TV,Electronics,North,52000,10,10400
2024-02-25,H&M Shirt,Fashion,East,3200,32,800
2024-03-03,MacBook Pro,Electronics,South,138000,6,34500
2024-03-09,iPhone 15,Electronics,West,78000,15,19500
2024-03-14,Nike Shoes,Fashion,North,14000,28,4200
2024-03-19,Sony Headphones,Electronics,East,22000,20,5500
2024-03-28,Zara Dress,Fashion,South,6800,17,1700
2024-04-04,iPhone 15,Electronics,North,95000,19,23750
2024-04-10,Dell Laptop,Electronics,East,72000,12,14400
2024-04-15,Adidas Shoes,Fashion,West,18000,36,5400
2024-04-22,Samsung TV,Electronics,South,48000,9,9600
2024-04-29,MacBook Pro,Electronics,North,142000,6,35500
2024-05-06,Nike Shoes,Fashion,East,16000,32,4800
2024-05-12,iPhone 15,Electronics,West,88000,17,22000
2024-05-18,Sony Headphones,Electronics,South,25000,22,6250
2024-05-24,H&M Shirt,Fashion,North,4200,42,1050
2024-06-03,Dell Laptop,Electronics,West,69000,11,13800
2024-06-09,MacBook Pro,Electronics,East,135000,5,33750
2024-06-15,Samsung TV,Electronics,North,55000,11,11000
2024-06-21,Zara Dress,Fashion,South,7500,19,1875
2024-06-27,iPhone 15,Electronics,East,91000,18,22750
2024-07-05,Nike Shoes,Fashion,West,17500,35,5250
2024-07-11,Dell Laptop,Electronics,North,74000,12,14800
2024-07-17,Adidas Shoes,Fashion,South,19000,38,5700
2024-07-23,MacBook Pro,Electronics,West,148000,6,37000
2024-07-29,Sony Headphones,Electronics,East,28000,25,7000
2024-08-04,iPhone 15,Electronics,South,96000,19,24000
2024-08-10,H&M Shirt,Fashion,North,4800,48,1200
2024-08-16,Samsung TV,Electronics,West,51000,10,10200
2024-08-22,Nike Shoes,Fashion,East,18500,37,5550
2024-08-28,Dell Laptop,Electronics,South,76000,12,15200
2024-09-03,MacBook Pro,Electronics,North,152000,6,38000
2024-09-09,iPhone 15,Electronics,West,89000,17,22250
2024-09-15,Zara Dress,Fashion,East,8200,21,2050
2024-09-21,Sony Headphones,Electronics,South,31000,28,7750
2024-09-27,Adidas Shoes,Fashion,North,21000,42,6300
2024-10-03,Dell Laptop,Electronics,East,79000,13,15800
2024-10-09,MacBook Pro,Electronics,West,158000,7,39500
2024-10-15,iPhone 15,Electronics,South,102000,20,25500
2024-10-21,Samsung TV,Electronics,North,58000,11,11600
2024-10-27,Nike Shoes,Fashion,West,20000,40,6000
2024-11-02,H&M Shirt,Fashion,East,5500,55,1375
2024-11-08,Dell Laptop,Electronics,North,82000,13,16400
2024-11-14,MacBook Pro,Electronics,South,162000,7,40500
2024-11-20,iPhone 15,Electronics,East,108000,21,27000
2024-11-26,Sony Headphones,Electronics,West,34000,30,8500
2024-12-02,Adidas Shoes,Fashion,South,23000,46,6900
2024-12-08,Samsung TV,Electronics,East,62000,12,12400
2024-12-14,MacBook Pro,Electronics,North,168000,7,42000
2024-12-20,iPhone 15,Electronics,West,115000,22,28750
2024-12-26,Nike Shoes,Fashion,South,22000,44,6600
